E,N,Z
0.0563,0.381,-0.159
0.0529,0.374,-0.168
0.0502,0.377,-0.171
0.0541,0.383,-0.168
0.0576,0.384,-0.161
0.0435,0.39,-0.151
0.0149,0.393,-0.148
-0.0146,0.392,-0.148
-0.0233,0.392,-0.152
0.00748,0.395,-0.163
0.0509,0.398,-0.166
0.0663,0.397,-0.156
0.0631,0.388,-0.148
0.0612,0.384,-0.147
0.053,0.387,-0.148
0.0314,0.389,-0.146
0.00795,0.39,-0.154
0.00559,0.383,-0.158
0.0296,0.379,-0.154
0.0604,0.388,-0.155
0.07,0.398,-0.158
0.0463,0.406,-0.16
0.0163,0.408,-0.162
0.00659,0.398,-0.163
0.0208,0.388,-0.165
0.0571,0.389,-0.16
0.0741,0.395,-0.153
0.0369,0.401,-0.147
-0.0119,0.405,-0.15
-0.027,0.399,-0.159
-0.00445,0.392,-0.164
0.0493,0.391,-0.165
0.0898,0.391,-0.16
0.0844,0.394,-0.155
0.0563,0.394,-0.155
0.0236,0.385,-0.156
0.00757,0.379,-0.16
0.0216,0.379,-0.16
0.048,0.384,-0.155
0.0577,0.395,-0.154
0.0374,0.398,-0.161
0.0129,0.391,-0.16
0.00224,0.388,-0.153
0.0163,0.392,-0.143
0.0486,0.391,-0.141
0.0624,0.384,-0.15
0.0591,0.384,-0.154
0.0464,0.387,-0.15
0.0265,0.392,-0.147
0.0253,0.391,-0.142
0.0444,0.384,-0.134
0.0525,0.386,-0.137
0.0375,0.391,-0.15
0.0269,0.391,-0.161
0.0326,0.395,-0.165
0.0359,0.4,-0.161
0.017,0.396,-0.155
-0.00394,0.393,-0.154
0.0067,0.393,-0.157
0.0308,0.394,-0.161
0.0492,0.4,-0.162
0.0486,0.4,-0.153
0.027,0.397,-0.144
0.0178,0.399,-0.153
0.0285,0.396,-0.173
0.0512,0.39,-0.178
0.0692,0.389,-0.17
0.0698,0.396,-0.158
0.0689,0.396,-0.151
0.0559,0.394,-0.153
0.0251,0.396,-0.152
0.00463,0.395,-0.156
0.00707,0.394,-0.157
0.0234,0.394,-0.148
0.0371,0.392,-0.15
0.0312,0.389,-0.153
0.00747,0.386,-0.154
-0.00342,0.388,-0.151
0.00955,0.386,-0.142
0.0339,0.386,-0.142
0.0581,0.388,-0.147
0.0527,0.393,-0.152
0.0278,0.403,-0.159
0.0183,0.4,-0.162
0.0213,0.386,-0.158
0.0403,0.383,-0.148
0.0629,0.385,-0.144
0.0661,0.391,-0.148
0.0529,0.4,-0.158
0.0379,0.4,-0.164
0.0449,0.398,-0.161
0.0484,0.399,-0.162
0.024,0.398,-0.166
0.00777,0.396,-0.168
0.0219,0.393,-0.171
0.0531,0.39,-0.172
0.0732,0.391,-0.174
0.061,0.393,-0.182
0.0307,0.395,-0.18
0.00952,0.396,-0.17
0.0149,0.399,-0.159
0.0417,0.401,-0.146
0.0495,0.398,-0.14
0.0247,0.391,-0.142
0.0123,0.386,-0.143
0.0294,0.388,-0.142
0.0408,0.397,-0.138
0.0337,0.406,-0.133
0.032,0.407,-0.133
0.0397,0.402,-0.136
0.0373,0.394,-0.135
0.0239,0.389,-0.135
0.0287,0.39,-0.138
0.0551,0.396,-0.142
0.0603,0.401,-0.153
0.0287,0.401,-0.162
0.000797,0.398,-0.163
0.0099,0.39,-0.163
0.0257,0.386,-0.163
0.0128,0.393,-0.163
-0.00335,0.4,-0.175
0.00781,0.404,-0.188
0.0437,0.407,-0.194
0.0754,0.402,-0.19
0.0826,0.398,-0.178
0.0797,0.395,-0.17
0.0551,0.395,-0.16
0.0125,0.403,-0.15
0.00469,0.408,-0.149
0.0287,0.404,-0.148
0.0557,0.398,-0.144
0.0804,0.391,-0.148
0.0863,0.382,-0.153
0.0653,0.385,-0.149
0.0335,0.391,-0.144
0.0087,0.392,-0.138
-0.00338,0.402,-0.141
-0.00557,0.406,-0.157
-0.0057,0.398,-0.164
0.0066,0.396,-0.159
0.033,0.395,-0.149
0.0457,0.392,-0.141
0.0235,0.398,-0.141
-0.00115,0.404,-0.148
0.0162,0.402,-0.155
0.0447,0.398,-0.16
0.0517,0.396,-0.162
0.0512,0.395,-0.165
0.0503,0.394,-0.165
0.0486,0.387,-0.162
0.0461,0.385,-0.164
0.0473,0.393,-0.166
0.0586,0.395,-0.17
0.0747,0.392,-0.175
0.0808,0.394,-0.172
0.071,0.393,-0.163
0.0473,0.387,-0.154
0.0212,0.385,-0.146
0.0058,0.391,-0.141
-0.00203,0.397,-0.145
-0.00462,0.406,-0.149
-0.0061,0.41,-0.152
0.0018,0.403,-0.155
0.0264,0.396,-0.157
0.0514,0.394,-0.155
0.053,0.399,-0.145
0.0448,0.407,-0.143
0.0693,0.406,-0.15
0.0884,0.399,-0.161
0.0494,0.392,-0.173
-8.59E-05,0.394,-0.175
-0.00507,0.399,-0.172
0.0307,0.403,-0.166
0.0576,0.406,-0.161
0.0312,0.396,-0.157
-0.0107,0.385,-0.152
-0.0199,0.385,-0.152
-0.000891,0.392,-0.152
0.0308,0.4,-0.154
0.0472,0.406,-0.161
0.0533,0.404,-0.166
0.0604,0.397,-0.158
0.0508,0.397,-0.143
0.0467,0.401,-0.144
0.0383,0.409,-0.152
0.0179,0.417,-0.152
0.0199,0.405,-0.154
0.0311,0.389,-0.151
0.0413,0.394,-0.139
0.0478,0.403,-0.136
0.056,0.406,-0.14
0.0566,0.408,-0.152
0.0312,0.412,-0.168
0.0235,0.42,-0.168
0.0293,0.421,-0.161
0.0342,0.418,-0.158
0.0448,0.413,-0.15
0.0342,0.401,-0.148
0.0351,0.397,-0.155
0.0424,0.396,-0.155
0.0226,0.395,-0.145
0.00793,0.391,-0.141
0.0108,0.386,-0.147
0.0266,0.392,-0.159
0.0412,0.398,-0.165
0.0481,0.398,-0.165
0.0463,0.397,-0.165
0.0381,0.392,-0.166
0.0484,0.392,-0.171
0.0605,0.398,-0.178
0.0686,0.405,-0.181
0.068,0.411,-0.177
0.0346,0.409,-0.167
0.0096,0.405,-0.155
-0.00237,0.404,-0.145
-0.0196,0.407,-0.143
0.0043,0.406,-0.15
0.0669,0.394,-0.155
0.0999,0.386,-0.153
0.0774,0.39,-0.153
0.0317,0.397,-0.156
0.000138,0.399,-0.158
0.00291,0.392,-0.158
0.0201,0.382,-0.157
0.0308,0.382,-0.153
0.0326,0.393,-0.155
0.0333,0.405,-0.161
0.0404,0.415,-0.161
0.0322,0.417,-0.164
0.0183,0.408,-0.168
0.00714,0.401,-0.162
-0.00357,0.405,-0.155
0.0162,0.41,-0.152
0.0602,0.411,-0.152
0.0947,0.412,-0.154
0.0913,0.415,-0.156
0.0575,0.414,-0.159
0.0367,0.407,-0.159
0.0407,0.398,-0.152
0.0619,0.392,-0.153
0.0723,0.394,-0.157
0.0577,0.402,-0.158
0.0418,0.407,-0.161
0.0232,0.405,-0.165
0.00248,0.398,-0.166
-0.00917,0.394,-0.165
-0.0199,0.401,-0.157
-0.0203,0.398,-0.151
0.00342,0.393,-0.159
0.036,0.397,-0.163
0.0516,0.405,-0.164
0.0455,0.413,-0.169
0.0309,0.416,-0.166
0.0197,0.416,-0.156
0.0191,0.413,-0.145
0.0215,0.398,-0.14
0.0307,0.39,-0.141
0.0558,0.394,-0.145
0.0662,0.401,-0.15
0.055,0.407,-0.158
0.0487,0.405,-0.154
0.048,0.399,-0.147
0.0427,0.395,-0.15
0.0336,0.392,-0.153
0.0215,0.397,-0.157
0.012,0.401,-0.166
0.0216,0.405,-0.169
0.0461,0.41,-0.167
0.0599,0.406,-0.169
0.0536,0.401,-0.167
0.0321,0.397,-0.162
0.0132,0.395,-0.162
0.0169,0.404,-0.16
0.0332,0.411,-0.164
0.0497,0.413,-0.17
0.0614,0.413,-0.168
0.0585,0.416,-0.167
0.0545,0.416,-0.167
0.0555,0.412,-0.166
0.0493,0.412,-0.16
0.0573,0.411,-0.149
0.0786,0.409,-0.144
0.0786,0.41,-0.147
0.0478,0.407,-0.152
0.00203,0.401,-0.153
-0.00456,0.396,-0.153
0.0315,0.393,-0.149
0.039,0.394,-0.148
0.00414,0.395,-0.152
-0.0143,0.394,-0.151
0.0237,0.395,-0.149
0.0748,0.395,-0.15
0.0739,0.391,-0.152
0.0231,0.39,-0.153
0.00341,0.395,-0.158
0.0397,0.404,-0.162
0.0258,0.413,-0.165
-0.0381,0.411,-0.161
-0.0379,0.407,-0.16
0.0372,0.414,-0.173
0.0917,0.414,-0.179
0.0554,0.406,-0.169
0.0141,0.409,-0.153
0.064,0.412,-0.144
0.0962,0.402,-0.15
0.00683,0.401,-0.153
-0.0831,0.413,-0.152
-0.0149,0.421,-0.156
0.14,0.425,-0.159
0.176,0.427,-0.158
0.0776,0.421,-0.16
-0.0138,0.404,-0.16
-0.00487,0.397,-0.159
0.0581,0.407,-0.167
0.0346,0.411,-0.177
-0.0651,0.407,-0.177
-0.0916,0.399,-0.171
0.00968,0.396,-0.162
0.132,0.399,-0.151
0.133,0.396,-0.146
0.0354,0.394,-0.148
0.00142,0.401,-0.157
0.0847,0.414,-0.163
0.131,0.423,-0.161
0.023,0.412,-0.156
-0.108,0.399,-0.148
-0.11,0.398,-0.134
-0.0139,0.409,-0.13
0.0345,0.415,-0.146
-0.00534,0.41,-0.166
0.00223,0.419,-0.165
0.0474,0.427,-0.152
-0.0508,0.419,-0.156
-0.27,0.399,-0.168
-0.405,0.389,-0.172
-0.352,0.393,-0.181
-0.202,0.388,-0.192
-0.0856,0.399,-0.189
-0.0243,0.421,-0.185
0.0409,0.408,-0.185
0.136,0.38,-0.177
0.186,0.386,-0.159
0.152,0.397,-0.156
0.0946,0.369,-0.163
0.0825,0.365,-0.156
0.22,0.414,-0.149
0.417,0.425,-0.153
0.393,0.396,-0.157
0.159,0.392,-0.157
0.0434,0.409,-0.147
0.179,0.431,-0.127
0.23,0.462,-0.113
-0.0617,0.464,-0.12
-0.394,0.413,-0.133
-0.321,0.389,-0.127
0.182,0.432,-0.118
0.601,0.446,-0.147
0.45,0.399,-0.178
-0.0466,0.377,-0.172
-0.305,0.397,-0.17
-0.243,0.394,-0.179
-0.259,0.37,-0.18
-0.361,0.377,-0.172
-0.0782,0.4,-0.158
0.587,0.408,-0.148
0.99,0.414,-0.153
0.698,0.403,-0.165
0.0825,0.348,-0.172
-0.164,0.326,-0.153
0.0745,0.404,-0.118
0.325,0.491,-0.109
0.161,0.484,-0.129
-0.239,0.432,-0.147
-0.262,0.411,-0.155
0.134,0.436,-0.159
0.288,0.462,-0.167
-0.063,0.427,-0.18
-0.359,0.38,-0.161
-0.129,0.399,-0.118
0.237,0.436,-0.113
0.0588,0.415,-0.161
-0.456,0.354,-0.203
-0.427,0.371,-0.19
0.253,0.453,-0.179
0.733,0.445,-0.199
0.469,0.374,-0.18
-0.038,0.36,-0.13
-0.047,0.36,-0.107
0.133,0.339,-0.121
-0.266,0.376,-0.173
-0.879,0.44,-0.216
-0.792,0.448,-0.216
-0.0875,0.434,-0.203
0.458,0.435,-0.179
0.374,0.429,-0.137
-0.0834,0.389,-0.109
-0.314,0.342,-0.102
-0.222,0.373,-0.117
-0.221,0.464,-0.16
-0.616,0.481,-0.229
-0.927,0.411,-0.275
-0.452,0.408,-0.241
0.383,0.478,-0.209
0.826,0.486,-0.215
0.834,0.452,-0.199
0.751,0.46,-0.188
0.794,0.474,-0.182
0.615,0.442,-0.143
0.114,0.451,-0.115
-0.0766,0.539,-0.159
0.254,0.584,-0.251
0.405,0.572,-0.326
-0.0511,0.582,-0.372
-0.328,0.593,-0.36
0.171,0.555,-0.269
0.752,0.483,-0.163
0.607,0.408,-0.088
-0.0829,0.341,-0.0506
-0.447,0.32,-0.0633
-0.215,0.352,-0.144
-0.0255,0.371,-0.219
-0.355,0.352,-0.194
-0.73,0.326,-0.124
-0.409,0.311,-0.0635
0.226,0.309,-0.0144
0.282,0.354,0.00603
-0.11,0.475,-0.0186
-0.139,0.551,-0.143
0.337,0.477,-0.336
0.576,0.399,-0.442
0.0944,0.408,-0.408
-0.511,0.335,-0.314
-0.276,0.179,-0.194
0.568,0.164,-0.0859
0.93,0.219,-0.117
0.412,0.158,-0.276
-0.385,0.159,-0.42
-0.454,0.361,-0.504
0.135,0.537,-0.526
0.0805,0.525,-0.466
-0.718,0.403,-0.341
-0.684,0.303,-0.155
0.536,0.288,0.0183
1.2,0.292,0.0746
0.348,0.332,0.0472
-0.888,0.494,-0.0323
-1.06,0.647,-0.15
-0.203,0.644,-0.188
0.311,0.586,-0.104
-0.151,0.567,0.00293
-0.636,0.493,0.0585
-0.166,0.413,0.0831
0.676,0.435,0.0575
0.71,0.385,-0.0218
0.0219,0.215,-0.0487
-0.375,0.139,-0.051
0.267,0.227,-0.0755
1.2,0.34,-0.0751
0.918,0.376,-0.0761
-0.06,0.399,-0.0543
-0.188,0.467,0.0208
0.353,0.529,0.0908
0.405,0.552,0.13
-0.304,0.546,0.0906
-0.882,0.517,-0.0315
-0.664,0.566,-0.15
-0.124,0.788,-0.294
0.0304,1.02,-0.466
-0.335,0.975,-0.536
-0.65,0.671,-0.424
-0.191,0.425,-0.131
0.8,0.321,0.141
1.3,0.236,0.153
1.04,0.256,-0.0731
0.626,0.425,-0.428
0.429,0.495,-0.799
0.268,0.384,-0.969
-0.0866,0.368,-0.806
-0.239,0.471,-0.442
0.0625,0.449,-0.0548
0.123,0.304,0.294
-0.214,0.212,0.47
-0.371,0.245,0.338
-0.387,0.336,0.039
-0.503,0.469,-0.157
-0.409,0.588,-0.158
0.0673,0.506,-0.04
0.299,0.201,0.129
-0.223,-0.0276,0.264
-0.733,0.0843,0.241
-0.188,0.272,0.0433
0.895,0.17,-0.244
1.2,-0.0651,-0.482
0.529,-0.13,-0.553
-0.277,-0.0775,-0.548
-0.646,-0.0532,-0.624
-0.601,0.0359,-0.743
-0.449,0.25,-0.769
-0.357,0.484,-0.664
-0.266,0.622,-0.513
-0.235,0.594,-0.42
-0.279,0.48,-0.39
-0.305,0.435,-0.339
-0.278,0.487,-0.23
-0.0883,0.636,-0.121
0.296,0.85,-0.0444
0.672,1.02,0.0302
0.744,1.07,0.105
0.568,0.929,0.222
0.318,0.716,0.488
0.088,0.581,0.774
0.262,0.488,0.855
0.498,0.457,0.703
-0.021,0.492,0.325
-0.885,0.45,-0.127
-1.07,0.352,-0.363
-0.571,0.362,-0.348
-0.0267,0.418,-0.192
0.372,0.387,0.0562
0.557,0.27,0.138
0.669,0.103,-0.0904
0.913,0.065,-0.353
0.962,0.268,-0.508
0.812,0.493,-0.619
0.614,0.45,-0.692
0.241,0.181,-0.631
-0.166,0.0311,-0.369
-0.343,0.0564,-0.0592
-0.217,0.106,0.169
-0.0774,0.214,0.217
0.0806,0.405,0.116
0.426,0.576,0.0917
0.504,0.604,0.0546
0.303,0.573,-0.0686
0.07,0.626,-0.119
-0.119,0.706,-0.106
0.162,0.771,-0.0839
0.582,0.806,-0.182
0.592,0.764,-0.415
0.367,0.673,-0.541
0.0511,0.666,-0.547
-0.18,0.751,-0.559
-0.509,0.669,-0.624
-1.14,0.318,-0.726
-1.39,-0.101,-0.703
-0.767,-0.409,-0.52
0.133,-0.484,-0.215
0.236,-0.398,0.176
-0.384,-0.407,0.48
-0.584,-0.496,0.605
-0.0963,-0.505,0.556
0.391,-0.333,0.402
0.286,0.144,0.225
-0.306,0.786,0.00611
-0.8,1.17,-0.299
-0.626,1.13,-0.563
0.167,0.949,-0.604
0.657,0.807,-0.55
0.459,0.671,-0.503
-0.0398,0.664,-0.385
-0.325,0.798,-0.289
-0.158,0.821,-0.258
-0.0687,0.581,-0.212
-0.292,0.299,-0.0545
-0.332,0.169,0.245
0.0339,0.113,0.612
0.291,0.146,0.932
0.0911,0.275,0.939
-0.139,0.402,0.563
-0.315,0.401,0.0663
-0.54,0.381,-0.397
-0.335,0.609,-0.789
0.475,0.908,-0.94
1.12,1.01,-0.752
0.99,0.902,-0.47
0.474,0.71,-0.27
0.0402,0.561,-0.149
-0.245,0.455,-0.168
-0.239,0.417,-0.249
0.199,0.382,-0.285
0.677,0.352,-0.267
0.449,0.353,-0.208
-0.239,0.251,-0.0928
-0.624,0.0798,0.0947
-0.585,0.041,0.272
-0.311,0.229,0.392
-0.0547,0.558,0.392
0.188,0.867,0.202
0.0901,0.97,-0.118
-0.592,0.771,-0.444
-1.08,0.518,-0.619
-0.752,0.423,-0.662
0.385,0.29,-0.596
1.34,0.12,-0.382
1.01,0.0211,-0.226
0.278,-0.169,-0.185
-0.00145,-0.343,-0.155
-0.13,-0.253,-0.206
-0.101,0.000486,-0.297
-0.287,0.0937,-0.339
-0.794,0.0321,-0.294
-0.662,0.194,-0.137
-0.0013,0.541,-0.0107
0.235,0.721,-0.0658
-0.365,0.666,-0.208
-1.4,0.517,-0.294
-1.74,0.372,-0.362
-1.38,0.16,-0.507
-0.859,-0.103,-0.6
-0.0916,-0.228,-0.494
0.581,-0.236,-0.272
0.588,-0.102,-0.0225
-0.441,0.291,0.168
-1.75,0.625,0.299
-1.85,0.637,0.392
-0.913,0.578,0.353
0.0267,0.642,0.255
0.585,0.804,0.179
0.962,1.04,0.0966
1.14,1.23,-0.114
0.962,1.18,-0.48
0.703,1,-0.634
0.368,0.808,-0.411
-0.0677,0.427,-0.106
-0.517,-0.131,0.064
-0.973,-0.361,0.179
-0.724,0.0342,0.199
0.428,0.602,-0.0353
1.26,0.814,-0.316
1.32,0.781,-0.347
1.38,0.79,-0.0846
1.62,0.699,0.251
1.77,0.474,0.47
1.4,0.441,0.594
0.566,0.609,0.545
-0.0585,0.723,0.321
-0.841,0.719,0.0183
-1.24,0.834,-0.174
-0.0165,1.14,-0.0983
1.38,1.18,-0.0213
1.21,0.792,-0.0622
-0.157,0.39,-0.0501
-1.07,0.228,-0.0578
-0.165,0.302,-0.261
1.6,0.471,-0.686
1.83,0.503,-1.25
0.0493,0.283,-1.68
-1.15,0.12,-1.59
0.202,0.247,-1.07
2.79,0.258,-0.485
3.82,-0.0571,0.0642
2.25,-0.227,0.342
0.197,-0.0579,0.0557
-0.00809,0.105,-0.456
0.429,0.182,-0.738
-0.183,0.358,-0.764
-0.417,0.467,-0.653
0.785,0.287,-0.507
2.02,0.0731,-0.31
1.48,0.0382,-0.169
-0.962,0.118,-0.28
-2.73,0.331,-0.477
-1.91,0.551,-0.641
0.24,0.597,-0.75
1.33,0.425,-0.715
0.048,0.038,-0.721
-1.39,-0.169,-0.611
-0.664,0.188,-0.213
0.658,0.685,-0.0172
0.789,0.877,-0.0346
0.241,0.989,0.0228
0.627,1.12,-0.0245
1.22,1.05,-0.205
-0.712,0.812,-0.333
-3.62,0.874,-0.226
-3.19,1.44,0.0429
0.47,1.87,0.112
2.78,1.81,0.0589
0.888,1.48,0.175
-1.93,1.05,0.359
-1.5,0.715,0.344
0.596,0.527,-0.0148
0.87,0.603,-0.577
-0.452,1.1,-1.18
-0.626,1.57,-1.69
1.36,1.51,-1.68
3,1.06,-1.16
1.24,0.439,-0.649
-1.98,-0.176,-0.197
-2.6,-0.207,0.0977
-1.24,0.402,-0.155
-0.309,0.932,-0.568
-0.76,1.02,-0.575
-1.58,0.96,-0.31
-0.675,0.717,0.143
1.3,0.158,0.716
2.46,0.0314,0.961
2.78,0.603,0.507
3.31,0.987,-0.472
3.19,0.98,-1.44
1.02,1.08,-2.08
-1.34,1.09,-2.39
-2.21,0.703,-2.5
-2.26,0.468,-2.31
-2.38,0.666,-1.69
-3.15,0.641,-0.961
-4.31,0.0851,-0.331
-4.94,-0.466,0.168
-4.16,-0.606,0.543
-2.32,-0.516,0.798
-0.287,-0.508,0.642
1.96,-0.318,0.177
3.45,0.141,-0.455
2.54,0.124,-1.23
-0.147,-0.332,-1.61
-1.83,-0.445,-1.49
-0.59,-0.334,-1.18
2.28,-0.351,-0.805
3.38,-0.166,-0.741
1.8,0.203,-1.2
-0.134,0.15,-1.62
-1.59,-0.321,-1.44
-3.31,-0.718,-0.716
-3.73,-0.76,0.512
-1.29,-0.446,2.01
2.54,-0.147,2.87
5.15,-0.285,2.86
4.84,-0.595,2.55
3.39,-0.221,2.1
3.49,0.687,1.39
3.25,1.06,0.526
0.352,1.11,0.133
-3.12,1.53,0.629
-3.79,1.66,1.16
-1.86,0.953,1.04
-1.1,0.113,0.7
-2.32,-0.0208,0.466
-2.93,0.406,0.224
-3.07,0.392,-0.08
-3.79,-0.106,-0.173
-3.14,-0.0276,0.205
0.3,0.305,0.595
4.39,-0.019,0.507
5.13,-0.488,0.254
1.65,-0.42,0.256
-1.11,0.0806,0.479
-0.155,0.579,0.58
1.12,0.892,0.108
1.09,1.2,-0.645
1.46,1.59,-0.85
2.27,2.18,-0.656
2.3,2.72,-0.243
0.378,2.4,0.774
-1.98,1.38,2.16
-0.768,0.854,3.35
3.39,0.62,3.57
5.01,-0.031,2.84
1.4,-0.302,2.12
-2.65,0.131,1.51
-0.934,0.722,0.869
3.03,0.619,0.154
2.84,-0.531,-0.361
-0.036,-1.61,-0.0478
-1.72,-2.1,0.336
-0.444,-2.23,-0.0617
1.27,-1.82,-0.792
-0.31,-0.787,-1.37
-2.05,0.05,-2.03
-0.132,-0.337,-2.75
2.56,-1.41,-2.78
2.11,-1.94,-1.73
-0.877,-1.67,-0.113
-2.93,-1.11,0.969
-1.89,-0.543,0.984
0.924,0.245,0.333
2.2,1.07,-0.58
1.87,1.69,-1.2
2.02,2.15,-1.3
2.68,2.66,-1.03
3.37,3.17,-0.548
3.01,3.47,-0.583
1.92,3.62,-1.19
2.26,3.47,-1.48
3.57,2.87,-1.34
3.87,1.8,-1.27
2.2,0.0408,-1.31
-1.2,-1.99,-1.2
-3.81,-2.95,-0.473
-2.96,-2.38,0.698
-0.156,-1.23,0.987
-0.522,-0.218,-0.00157
-4.78,0.45,-0.743
-7.56,1.11,-0.173
-6.55,1.85,0.668
-3.79,1.96,0.96
-2.37,1.42,0.976
-2.84,0.843,0.677
-1.47,0.646,0.42
1.95,0.692,0.453
4.13,0.898,0.552
3.7,0.795,0.777
1.93,-0.481,1.16
0.404,-2.23,1.73
-1.12,-3.21,2.34
-1.87,-2.71,2.76
-1.9,-1.19,2.49
-2.08,0.0716,1.08
-2.16,1.36,-0.928
-3.19,2.78,-2.92
-4.58,3.44,-4.34
-4.95,3,-4.65
-3.76,2.02,-3.95
-0.914,1.5,-2.88
1.33,0.87,-2.28
1.47,-0.123,-2.19
-0.407,-0.449,-2.7
-2.53,-0.545,-3.35
-2.32,-1.05,-2.77
-0.0928,-1.62,-0.88
2.69,-2.08,1.26
3.73,-2.29,2.32
1.56,-1.6,1.95
-0.874,0.279,1.25
-1.37,2.27,0.437
-1.04,3.22,-0.278
-1.01,3.11,0.129
-2.17,2.13,1.37
-2.9,0.629,2.4
-0.712,-0.411,2.73
1.46,-0.193,2.22
1.5,1.05,1.48
0.835,1.57,1.16
-0.374,0.0702,1.09
-0.893,-1.77,1.63
-0.508,-2.4,2.69
0.0745,-2.6,2.76
1.23,-2.54,1.54
2.21,-1.92,-0.22
3.56,-1.24,-1.61
4.72,-0.891,-1.97
4.43,-1.22,-1.76
3.17,-1.54,-1.28
0.679,-1.2,-0.63
-1.54,-0.725,-0.152
-2.83,0.0217,-0.0847
-2.73,0.874,-0.64
0.603,1.18,-1.18
3.96,0.902,-1.23
3.77,0.531,-0.774
0.489,0.972,0.32
-3.79,1.89,1.48
-5.71,2.31,2.21
-4.06,1.91,2.33
-0.607,0.717,2.03
2.73,-0.55,2.15
4.45,-1.2,2.67
4.5,-1.41,3.41
3.14,-1.43,4.37
-0.155,-1.42,4.92
-3.16,-1.68,4.65
-2.92,-1.63,3.65
0.0479,-0.48,2.48
2.59,0.872,1.56
2.28,1.46,0.811
1.3,1.72,0.185
2.86,2.1,-0.408
4.94,1.91,-1.05
4.09,0.673,-1.59
1.84,0.0568,-1.72
1.63,0.658,-1.5
3.13,0.383,-1.38
3.24,-1.11,-0.704
-0.635,-1.74,0.915
-5.56,-0.922,1.98
-6.27,-0.0562,2.05
-4.56,0.512,1.73
-3.25,1.48,1.04
-1.6,2.31,0.307
-0.305,2.74,-0.111
-0.167,3.85,-0.628
-0.57,5.3,-1.6
-0.219,5.63,-2.09
0.462,4.83,-1.6
-0.507,3.7,-0.849
-2.04,2.55,0.141
-3.29,1.88,1.27
-5.16,1.69,1.59
-5.54,1.26,1.02
-3.25,0.767,0.243
-0.13,0.16,-0.546
2.06,-1.08,-1.19
1.39,-2.55,-1.83
-0.866,-3.29,-3.12
-0.808,-2.65,-4.81
1.53,-1.17,-6.16
2.16,-0.223,-7.19
0.299,-0.0817,-7.26
-0.515,0.296,-5.94
0.865,1.45,-4.49
2.93,2.73,-3.68
3.42,3.48,-3.6
1.84,3.55,-3.98
0.701,2.57,-3.89
1.11,0.846,-2.87
1.42,-0.53,-1.02
-0.373,-1.71,0.697
-1.92,-2.74,1.72
-2.66,-2.52,1.99
-6.29,-0.999,1.01
-9.8,0.628,-0.493
-8.84,1.61,-1.37
-3.37,2.43,-1.38
4.06,2.85,-0.593
6.8,2.35,0.562
3.04,1.44,1.62
-1.04,0.775,2.08
0.167,0.729,1.61
5.03,0.391,0.561
6.64,-0.244,-0.325
3.15,-0.181,-0.835
-1.32,0.364,-1.24
-3.01,1.11,-1.49
-1.44,1.26,-1.24
0.146,0.494,-0.56
-0.397,-0.494,-0.132
-1.29,-1.64,-0.216
-2.07,-2.06,-0.894
-4.5,-0.864,-2.32
-5.99,0.575,-3.66
-3.46,1.12,-4.1
0.211,0.907,-3.48
1.75,-0.449,-1.87
1.84,-2.12,0.239
3.55,-2.27,2.26
7.92,-0.95,3.33
11.7,0.517,2.71
10.8,1.81,0.961
6.1,3.45,-0.8
2.27,3.85,-1.84
0.0931,1.41,-1.56
-1.8,-1.69,0.611
-2.46,-2.71,4.1
-0.701,-1.65,6.93
1.52,-0.154,8.14
0.732,1.12,8.3
-2.22,2.63,7.71
-4.47,3.05,6.57
-5.14,1.37,5.55
-4.95,-0.3,4.51
-4.84,-0.869,2.36
-3.54,-1.46,-0.87
-1.26,-2.31,-4.08
0.361,-2.73,-6.35
1.55,-3.01,-6.91
1.26,-3.96,-5.98
0.0813,-4.63,-4.56
-0.667,-3.63,-3.7
-2.12,-1.29,-3.59
-2.65,1.3,-3.16
-1.84,4.05,-2.17
-1.15,6.72,-1.25
0.506,7.34,0.292
1.24,6.09,3.14
-1.84,5.39,6.12
-4.3,5.49,7.86
-0.525,5.48,7.66
5.66,5.13,5.52
8.99,4.43,2.95
7.41,3.9,1.26
0.69,3.14,0.303
-4.12,1.22,-0.209
-2.88,-0.719,-0.129
3.36,-1.78,0.395
11.9,-1.83,0.415
14.9,-0.971,-1.22
11.9,-0.918,-3.5
6.41,-1.48,-3.98
-0.0818,-1.58,-2.22
-3.39,-1.45,0.576
-2.99,-0.928,2.81
-3.24,-0.407,3.5
-6.8,-0.103,2.38
-9.32,-0.103,0.0448
-5.95,0.213,-1.83
2.12,1.3,-3.17
10.4,1.74,-4.59
12.2,1.58,-5.46
5.08,1.15,-6.2
-3.42,-0.686,-7.01
-5.75,-2.53,-7.11
-2.06,-2.16,-6.79
3.71,-0.9,-6.71
5.27,0.557,-6.01
2.49,2.1,-4.34
1.28,3.8,-3.03
0.671,6.64,-2.99
-0.272,7.71,-3.67
-3.69,7.07,-3.76
-8.16,7.09,-3.14
-6.09,6.54,-2.23
-1.03,4.72,-0.982
0.855,1.45,0.216
-2.46,-1.01,0.954
-7.35,-2.28,0.815
-5.2,-4.39,0.0919
1.76,-5.06,0.143
3.55,-3.05,0.92
0.717,-2.42,1.33
-0.0742,-3.32,1.99
2.31,-2.44,3.09
4.4,-2.55,3.41
-0.865,-3.59,3.39
-6.97,-2.46,3.7
-4.18,0.152,3.02
3.16,3.16,0.483
6.65,4.73,-2.57
