E,N,Z
0.0386,0.348,-0.145
0.0356,0.348,-0.146
0.0323,0.349,-0.146
0.0325,0.349,-0.146
0.035,0.349,-0.146
0.0373,0.348,-0.146
0.0372,0.349,-0.147
0.034,0.35,-0.148
0.0338,0.352,-0.148
0.0354,0.352,-0.148
0.0347,0.351,-0.148
0.0314,0.35,-0.147
0.0294,0.349,-0.147
0.0324,0.349,-0.147
0.0349,0.349,-0.146
0.0339,0.349,-0.145
0.0324,0.349,-0.144
0.0321,0.35,-0.143
0.0334,0.35,-0.142
0.0339,0.35,-0.142
0.0332,0.35,-0.142
0.0336,0.35,-0.143
0.0361,0.35,-0.144
0.0369,0.35,-0.145
0.0354,0.351,-0.145
0.0363,0.352,-0.146
0.0381,0.353,-0.147
0.0393,0.352,-0.146
0.0387,0.352,-0.146
0.0366,0.351,-0.145
0.0364,0.351,-0.145
0.0366,0.351,-0.145
0.0345,0.351,-0.146
0.0311,0.351,-0.147
0.0267,0.351,-0.146
0.0265,0.352,-0.146
0.032,0.352,-0.147
0.0383,0.352,-0.148
0.0424,0.352,-0.149
0.0405,0.352,-0.149
0.0361,0.351,-0.147
0.0348,0.351,-0.145
0.0344,0.352,-0.145
0.0331,0.352,-0.145
0.0342,0.351,-0.145
0.0389,0.35,-0.144
0.0394,0.35,-0.144
0.0364,0.35,-0.145
0.0351,0.35,-0.146
0.0342,0.351,-0.146
0.036,0.352,-0.146
0.0378,0.352,-0.145
0.0359,0.353,-0.144
0.0345,0.353,-0.144
0.0343,0.353,-0.146
0.0332,0.353,-0.148
0.0315,0.352,-0.147
0.0302,0.352,-0.145
0.0315,0.352,-0.144
0.0337,0.351,-0.144
0.0341,0.352,-0.145
0.0334,0.351,-0.147
0.0322,0.351,-0.148
0.0335,0.351,-0.148
0.0348,0.352,-0.146
0.0336,0.353,-0.145
0.0352,0.353,-0.145
0.0369,0.354,-0.146
0.0369,0.354,-0.147
0.036,0.354,-0.148
0.0332,0.354,-0.149
0.0303,0.354,-0.149
0.0309,0.354,-0.147
0.0364,0.353,-0.146
0.0417,0.353,-0.145
0.0427,0.353,-0.145
0.0408,0.354,-0.145
0.0363,0.353,-0.146
0.0335,0.353,-0.146
0.0352,0.353,-0.146
0.0357,0.353,-0.146
0.0336,0.354,-0.147
0.0311,0.355,-0.149
0.0284,0.357,-0.149
0.0278,0.357,-0.149
0.0287,0.356,-0.148
0.0309,0.354,-0.147
0.035,0.353,-0.147
0.0347,0.353,-0.145
0.0325,0.353,-0.145
0.0353,0.351,-0.146
0.0397,0.349,-0.146
0.0434,0.351,-0.144
0.043,0.354,-0.143
0.0398,0.357,-0.143
0.0387,0.358,-0.145
0.0375,0.357,-0.146
0.0366,0.355,-0.146
0.0346,0.353,-0.146
0.0316,0.354,-0.146
0.0305,0.355,-0.147
0.0261,0.355,-0.147
0.0256,0.354,-0.146
0.0334,0.353,-0.146
0.0366,0.354,-0.146
0.0389,0.353,-0.146
0.0437,0.352,-0.146
0.0432,0.353,-0.147
0.0398,0.354,-0.149
0.0335,0.354,-0.148
0.0285,0.354,-0.145
0.0272,0.355,-0.145
0.0255,0.355,-0.147
0.0287,0.356,-0.15
0.0362,0.355,-0.15
0.0416,0.354,-0.15
0.0403,0.356,-0.148
0.0356,0.358,-0.147
0.0349,0.358,-0.148
0.036,0.356,-0.147
0.0364,0.356,-0.143
0.0334,0.355,-0.141
0.0337,0.355,-0.141
0.0379,0.355,-0.143
0.0333,0.353,-0.147
0.0309,0.353,-0.148
0.034,0.356,-0.148
0.0355,0.357,-0.148
0.0426,0.355,-0.148
0.0451,0.354,-0.148
0.038,0.355,-0.147
0.0332,0.357,-0.146
0.0284,0.36,-0.146
0.0252,0.361,-0.147
0.0279,0.36,-0.149
0.0324,0.359,-0.148
0.0403,0.359,-0.147
0.046,0.359,-0.148
0.0388,0.359,-0.149
0.0272,0.357,-0.15
0.0257,0.355,-0.15
0.0333,0.356,-0.148
0.0402,0.355,-0.147
0.0402,0.356,-0.147
0.0346,0.357,-0.146
0.0312,0.356,-0.146
0.0314,0.358,-0.145
0.032,0.359,-0.144
0.0331,0.358,-0.144
0.0333,0.357,-0.144
0.0331,0.356,-0.145
0.0331,0.355,-0.145
0.0317,0.356,-0.144
0.0285,0.356,-0.144
0.0295,0.357,-0.145
0.0339,0.359,-0.147
0.0349,0.358,-0.149
0.0375,0.358,-0.149
0.0422,0.358,-0.148
0.0421,0.357,-0.147
0.0408,0.356,-0.147
0.0416,0.356,-0.147
0.0418,0.358,-0.147
0.0394,0.359,-0.147
0.0394,0.357,-0.146
0.0424,0.356,-0.146
0.0393,0.356,-0.145
0.0292,0.358,-0.147
0.0229,0.36,-0.15
0.0264,0.361,-0.152
0.0285,0.36,-0.153
0.0226,0.357,-0.153
0.0198,0.355,-0.151
0.0243,0.356,-0.15
0.0354,0.356,-0.151
0.0461,0.356,-0.15
0.0436,0.357,-0.151
0.0345,0.356,-0.152
0.0327,0.354,-0.15
0.0379,0.354,-0.149
0.0398,0.356,-0.147
0.034,0.358,-0.148
0.0286,0.359,-0.149
0.0272,0.36,-0.147
0.0314,0.361,-0.144
0.0417,0.36,-0.144
0.0478,0.361,-0.145
0.0462,0.363,-0.146
0.0439,0.364,-0.145
0.044,0.365,-0.143
0.0445,0.364,-0.14
0.0436,0.362,-0.14
0.0379,0.362,-0.141
0.0311,0.363,-0.141
0.0291,0.363,-0.141
0.0298,0.362,-0.141
0.0347,0.359,-0.144
0.0343,0.358,-0.146
0.0229,0.359,-0.149
0.0196,0.359,-0.149
0.0288,0.362,-0.147
0.0358,0.362,-0.146
0.0382,0.36,-0.148
0.0371,0.36,-0.149
0.0324,0.359,-0.151
0.0328,0.357,-0.152
0.034,0.356,-0.151
0.0366,0.356,-0.149
0.0409,0.356,-0.151
0.0335,0.357,-0.153
0.0317,0.357,-0.153
0.036,0.356,-0.152
0.0308,0.357,-0.147
0.0288,0.359,-0.145
0.0288,0.361,-0.145
0.0279,0.361,-0.144
0.0306,0.363,-0.145
0.0324,0.363,-0.147
0.0353,0.361,-0.15
0.0386,0.362,-0.152
0.0356,0.361,-0.152
0.0342,0.362,-0.152
0.0377,0.366,-0.152
0.038,0.367,-0.152
0.0393,0.363,-0.152
0.0375,0.361,-0.15
0.0306,0.362,-0.148
0.0267,0.362,-0.145
0.0214,0.364,-0.144
0.0227,0.365,-0.146
0.0381,0.36,-0.142
0.0504,0.356,-0.139
0.0514,0.355,-0.139
0.0482,0.355,-0.141
0.0465,0.358,-0.144
0.0456,0.362,-0.148
0.0473,0.363,-0.152
0.0505,0.363,-0.153
0.0465,0.361,-0.148
0.04,0.362,-0.144
0.0311,0.364,-0.143
0.019,0.365,-0.147
0.0129,0.363,-0.151
0.0144,0.362,-0.153
0.0279,0.361,-0.151
0.0392,0.359,-0.145
0.0288,0.36,-0.143
0.0179,0.36,-0.145
0.0257,0.36,-0.148
0.0437,0.364,-0.15
0.0559,0.364,-0.151
0.05,0.367,-0.153
0.0404,0.37,-0.153
0.0417,0.37,-0.151
0.0398,0.372,-0.15
0.0317,0.369,-0.152
0.0275,0.365,-0.153
0.0235,0.361,-0.152
0.0234,0.357,-0.149
0.0257,0.357,-0.146
0.0224,0.358,-0.144
0.0197,0.359,-0.144
